dnaSampleID,internalLabID,nucleicAcidConcentration,plateNumber,Well_Number,JGI_Well_Number,DNA_volume,notes
LEAVE BLANK,,,,,A01,,
TALL_051-M-20240617-comp-DNA1,24S_20_1864,100,24S_20,Well_D09,B01,30,
TALL_054-M-20240617-comp-DNA1,24S_20_1868,42,24S_20,Well_H09,C01,30,
HARV_001-O-20240708-comp-DNA1,24S_20_1873,211,24S_20,Well_E10,D01,30,
HARV_002-O-20240710-comp-DNA1,24S_20_1875,241,24S_20,Well_G10,E01,30,
HARV_004-M-20240709-comp-DNA1,24S_20_1876,89,24S_20,Well_H10,F01,30,
HARV_004-O-20240709-comp-DNA1,24S_20_1877,193,24S_20,Well_A11,G01,30,
LEAVE BLANK,,,,,H01,,
HARV_005-O-20240710-comp-DNA1,24S_20_1879,323,24S_20,Well_C11,A02,30,
HARV_013-O-20240708-comp-DNA1,24S_20_1881,234,24S_20,Well_E11,B02,30,
HARV_021-M-20240709-comp-DNA1,24S_20_1882,167,24S_20,Well_F11,C02,30,
HARV_021-O-20240709-comp-DNA1,24S_20_1883,260,24S_20,Well_G11,D02,30,
HARV_033-M-20240701-comp-DNA1,24S_20_1884,194,24S_20,Well_H11,E02,30,
HARV_033-O-20240701-comp-DNA1,24S_20_1885,198,24S_20,Well_A12,F02,30,
HARV_034-M-20240701-comp-DNA1,24S_20_1886,155,24S_20,Well_B12,G02,30,
HARV_034-O-20240701-comp-DNA1,24S_20_1887,183,24S_20,Well_C12,H02,30,
HARV_035-O-20240702-comp-DNA1,24S_20_1889,121,24S_20,Well_E12,A03,30,
HARV_037-M-20240701-comp-DNA1,24S_20_1890,79,24S_20,Well_F12,B03,30,
HARV_037-O-20240701-comp-DNA1,24S_20_1891,197,24S_20,Well_G12,C03,30,
WREF_001-O-20240723-comp-DNA1,24S_21_1979,167,24S_21,Well_H11,D03,30,
WREF_004-O-20240722-comp-DNA1,24S_21_1982,139,24S_21,Well_C12,E03,30,
WREF_005-O-20240723-comp-DNA1,24S_21_1984,81,24S_21,Well_E12,F03,30,
WREF_007-O-20240723-comp-DNA1,24S_21_1986,46,24S_21,Well_G12,G03,30,
