dnaSampleID,internalLabID,nucleicAcidConcentration,plateNumber,Well_Number,JGI_Well_Number,DNA_volume,notes
WREF_008-O-20240724-comp-DNA1,24S_22_1988,98,24S_22,Well_B01,H03,30,
WREF_070-O-20240724-comp-DNA1,24S_22_1990,30,24S_22,Well_D01,A04,30,
WREF_073-M-20240723-comp-DNA1,24S_22_1993,38,24S_22,Well_G01,B04,30,
WREF_073-O-20240723-comp-DNA1,24S_22_1994,37,24S_22,Well_H01,C04,30,
CPER_001-M-20240701-comp-DNA1,24S_22_2025,26,24S_22,Well_G05,D04,30,
CPER_002-M-20240701-comp-DNA1,24S_22_2026,29,24S_22,Well_H05,E04,30,
CPER_003-M-20240701-comp-DNA1,24S_22_2027,27,24S_22,Well_A06,F04,30,
CPER_004-M-20240701-comp-DNA1,24S_22_2028,27,24S_22,Well_B06,G04,30,
CPER_005-M-20240703-comp-DNA1,24S_22_2029,29,24S_22,Well_C06,H04,30,
CPER_006-M-20240703-comp-DNA1,24S_22_2030,21,24S_22,Well_D06,A05,30,
CPER_045-M-20240701-comp-DNA1,24S_22_2031,27,24S_22,Well_E06,B05,30,
CPER_046-M-20240701-comp-DNA1,24S_22_2032,28,24S_22,Well_F06,C05,30,
CPER_047-M-20240701-comp-DNA1,24S_22_2033,30,24S_22,Well_G06,D05,30,
CPER_048-M-20240701-comp-DNA1,24S_22_2034,28,24S_22,Well_H06,E05,30,
NIWO_001-M-20240722-comp-DNA1,24S_23_2125,94,24S_23,Well_D06,F05,30,
NIWO_001-O-20240722-comp-DNA1,24S_23_2126,149,24S_23,Well_E06,G05,30,
NIWO_002-M-20240722-comp-DNA1,24S_23_2127,32,24S_23,Well_F06,H05,30,
NIWO_002-O-20240722-comp-DNA1,24S_23_2128,187,24S_23,Well_G06,A06,30,
NIWO_003-M-20240722-comp-DNA1,24S_23_2129,186,24S_23,Well_H06,B06,30,
NIWO_004-M-20240722-comp-DNA1,24S_23_2130,24,24S_23,Well_A07,C06,30,
NIWO_004-O-20240722-comp-DNA1,24S_23_2131,195,24S_23,Well_B07,D06,30,
NIWO_005-M-20240722-comp-DNA1,24S_23_2132,34,24S_23,Well_C07,E06,30,
NIWO_005-O-20240722-comp-DNA1,24S_23_2133,156,24S_23,Well_D07,F06,30,
NIWO_006-M-20240722-comp-DNA1,24S_23_2134,153,24S_23,Well_E07,G06,30,
NIWO_040-M-20240724-comp-DNA1,24S_23_2135,80,24S_23,Well_F07,H06,30,
NIWO_040-O-20240724-comp-DNA1,24S_23_2136,183,24S_23,Well_G07,A07,30,
NIWO_041-M-20240724-comp-DNA1,24S_23_2137,81,24S_23,Well_H07,B07,30,
NIWO_041-O-20240724-comp-DNA1,24S_23_2138,249,24S_23,Well_A08,C07,30,
NIWO_042-M-20240724-comp-DNA1,24S_23_2139,129,24S_23,Well_B08,D07,30,
NIWO_043-M-20240724-comp-DNA1,24S_23_2140,144,24S_23,Well_C08,E07,30,
SOAP_002-M-20240523-comp-DNA1,24S_23_2170,36,24S_23,Well_A12,F07,30,
SOAP_003-M-20240520-comp-DNA1,24S_23_2171,14,24S_23,Well_B12,G07,50,more DNA needed for this sample
SOAP_004-M-20240521-comp-DNA1,24S_23_2172,75,24S_23,Well_C12,H07,30,
SOAP_006-M-20240523-comp-DNA1,24S_23_2173,76,24S_23,Well_D12,A08,30,
SOAP_007-M-20240522-comp-DNA1,24S_23_2174,107,24S_23,Well_E12,B08,30,
SOAP_025-M-20240522-comp-DNA1,24S_23_2175,87,24S_23,Well_F12,C08,30,
SOAP_031-M-20240520-comp-DNA1,24S_23_2176,59,24S_23,Well_G12,D08,30,
SOAP_043-M-20240523-comp-DNA1,24S_23_2177,58,24S_23,Well_H12,E08,30,
SOAP_045-M-20240521-comp-DNA1,24S_24_2178,13,24S_24,Well_B01,F08,50,more DNA needed for this sample
UNDE_001-M-20240718-comp-DNA1,24S_24_2180,135,24S_24,Well_D01,G08,30,
UNDE_001-O-20240718-comp-DNA1,24S_24_2181,97,24S_24,Well_E01,H08,30,
UNDE_002-O-20240718-comp-DNA1,24S_24_2182,17,24S_24,Well_F01,A09,50,more DNA needed for this sample
UNDE_003-O-20240718-comp-DNA1,24S_24_2183,26,24S_24,Well_G01,B09,30,
UNDE_003-M-20240718-comp-DNA1,24S_24_2184,27,24S_24,Well_H01,C09,30,
UNDE_006-M-20240716-comp-DNA1,24S_24_2185,59,24S_24,Well_A02,D09,30,
UNDE_008-M-20240716-comp-DNA1,24S_24_2186,59,24S_24,Well_B02,E09,30,
UNDE_010-O-20240718-comp-DNA1,24S_24_2187,89,24S_24,Well_C02,F09,30,
UNDE_037-M-20240716-comp-DNA1,24S_24_2188,36,24S_24,Well_D02,G09,30,
UNDE_037-O-20240716-comp-DNA1,24S_24_2189,113,24S_24,Well_E02,H09,30,
UNDE_038-M-20240716-comp-DNA1,24S_24_2190,20,24S_24,Well_F02,A10,30,
UNDE_038-O-20240716-comp-DNA1,24S_24_2191,147,24S_24,Well_G02,B10,30,
UNDE_043-M-20240718-comp-DNA1,24S_24_2192,80,24S_24,Well_H02,C10,30,
UNDE_044-M-20240716-comp-DNA1,24S_24_2193,33,24S_24,Well_A03,D10,30,
UNDE_044-O-20240716-comp-DNA1,24S_24_2194,107,24S_24,Well_B03,E10,30,
YELL_002-M-20240805-comp-DNA1,24S_24_2261,122,24S_24,Well_E11,F10,30,
YELL_003-M-20240806-comp-DNA1,24S_24_2262,52,24S_24,Well_F11,G10,30,
YELL_005-M-20240806-comp-DNA1,24S_24_2263,92,24S_24,Well_G11,H10,30,
YELL_009-M-20240806-comp-DNA1,24S_24_2264,67,24S_24,Well_H11,A11,30,
YELL_012-M-20240806-comp-DNA1,24S_24_2265,14,24S_24,Well_A12,B11,50,more DNA needed for this sample
YELL_016-M-20240806-comp-DNA1,24S_24_2266,69,24S_24,Well_B12,C11,30,
YELL_046-M-20240805-comp-DNA1,24S_24_2267,94,24S_24,Well_C12,D11,30,
YELL_048-M-20240805-comp-DNA1,24S_24_2268,101,24S_24,Well_D12,E11,30,
YELL_048-O-20240805-comp-DNA1,24S_24_2269,82,24S_24,Well_E12,F11,30,
YELL_051-M-20240805-comp-DNA1,24S_24_2270,98,24S_24,Well_F12,G11,30,
YELL_052-M-20240806-comp-DNA1,24S_24_2271,70,24S_24,Well_G12,H11,30,
LEAVE BLANK,,,,,A12,,
ORNL_001-M-20240624-comp-DNA1,24S_25_2333,84,24S_25,Well_F08,B12,30,
ORNL_002-M-20240624-comp-DNA1,24S_25_2334,38,24S_25,Well_G08,C12,30,
ORNL_003-M-20240624-comp-DNA1,24S_25_2335,36,24S_25,Well_H08,D12,30,
ORNL_004-M-20240625-comp-DNA1,24S_25_2336,33,24S_25,Well_A09,E12,30,
ORNL_006-M-20240625-comp-DNA1,24S_25_2337,56,24S_25,Well_B09,F12,30,
ORNL_027-M-20240625-comp-DNA1,24S_25_2338,50,24S_25,Well_C09,G12,30,
LEAVE BLANK,,,,,H12,,
