dnaSampleID,internalLabID,nucleicAcidConcentration,plateNumber,Well_Number,JGI_Well_Number,DNA_volume,notes
LEAVE BLANK,,,,,A01,,
ORNL_043-M-20240626-comp-DNA1,24S_25_2339,32,24S_25,Well_D09,B01,,
ORNL_046-M-20240626-comp-DNA1,24S_25_2340,41,24S_25,Well_E09,C01,,
ORNL_049-M-20240626-comp-DNA1,24S_25_2341,60,24S_25,Well_F09,D01,,
ORNL_053-M-20240626-comp-DNA1,24S_25_2342,70,24S_25,Well_G09,E01,,
TOOL_001-M-20240718-comp-DNA1,24S_26_2373,56,24S_26,Well_G01,F01,,
TOOL_001-O-20240718-comp-DNA1,24S_26_2374,58,24S_26,Well_H01,G01,,
LEAVE BLANK,,,,,H01,,
TOOL_002-O-20240718-comp-DNA1,24S_26_2375,49,24S_26,Well_A02,A02,,
TOOL_003-M-20240719-comp-DNA1,24S_26_2376,69,24S_26,Well_B02,B02,,
TOOL_003-O-20240719-comp-DNA1,24S_26_2377,41,24S_26,Well_C02,C02,,
TOOL_004-O-20240719-comp-DNA1,24S_26_2378,34,24S_26,Well_D02,D02,,
TOOL_005-M-20240718-comp-DNA1,24S_26_2379,39,24S_26,Well_E02,E02,,
TOOL_005-O-20240718-comp-DNA1,24S_26_2380,148,24S_26,Well_F02,F02,,
TOOL_006-O-20240718-comp-DNA1,24S_26_2381,34,24S_26,Well_G02,G02,,
TOOL_041-M-20240717-comp-DNA1,24S_26_2382,193,24S_26,Well_H02,H02,,
TOOL_041-O-20240717-comp-DNA1,24S_26_2383,94,24S_26,Well_A03,A03,,
TOOL_042-M-20240717-comp-DNA1,24S_26_2384,61,24S_26,Well_B03,B03,,
TOOL_042-O-20240717-comp-DNA1,24S_26_2385,71,24S_26,Well_C03,C03,,
TOOL_043-M-20240717-comp-DNA1,24S_26_2386,12,24S_26,Well_D03,D03,,
TOOL_043-O-20240717-comp-DNA1,24S_26_2387,56,24S_26,Well_E03,E03,,
TOOL_044-O-20240717-comp-DNA1,24S_26_2388,75,24S_26,Well_F03,F03,,
WOOD_001-M-20240702-comp-DNA1,24S_26_2419,224,24S_26,Well_E07,G03,,
WOOD_002-M-20240702-comp-DNA1,24S_26_2420,239,24S_26,Well_F07,H03,,
WOOD_003-M-20240702-comp-DNA1,24S_26_2421,119,24S_26,Well_G07,A04,,
WOOD_004-M-20240702-comp-DNA1,24S_26_2422,220,24S_26,Well_H07,B04,,
WOOD_005-M-20240703-comp-DNA1,24S_26_2423,94,24S_26,Well_A08,C04,,
